API route,Time,HTTP Code,Response Time,Status
API 1,13:00:00,400,2.15,success
API 1,13:00:00,402,2.44,success
API 1,13:00:00,411,2.13,success
API 1,13:00:00,303,1.73,success
API 1,13:00:00,205,1.8,success
API 1,13:00:00,405,2.41,success
API 1,13:00:00,402,1.89,success
API 1,13:00:00,405,2.46,success
API 1,13:00:00,206,2.11,success
API 1,13:00:00,411,2.06,success
API 1,13:00:00,303,1.65,success
API 1,13:00:00,303,2.34,success
API 1,13:00:00,204,2.05,success
API 1,13:00:00,403,2.37,success
API 1,13:00:00,424,1.91,success
API 1,13:00:00,300,1.95,success
API 1,13:00:00,426,1.79,success
API 1,13:00:00,406,2.15,success
API 1,13:00:00,203,2.41,success
API 1,13:00:00,424,1.97,success
API 1,13:01:00,410,2.87,success
API 1,13:01:00,403,2.67,success
API 1,13:01:00,425,2.78,success
API 1,13:01:00,413,3.05,success
API 1,13:01:00,408,3.18,success
API 1,13:01:00,303,3.12,success
API 1,13:01:00,451,2.95,success
API 1,13:01:00,406,3.14,success
API 1,13:01:00,302,2.9,success
API 1,13:01:00,413,2.99,success
API 1,13:01:00,425,2.32,success
API 1,13:01:00,410,2.87,success
API 1,13:01:00,202,2.42,success
API 1,13:01:00,203,2.39,success
API 1,13:01:00,421,2.65,success
API 1,13:01:00,417,2.96,success
API 1,13:01:00,204,3.05,success
API 1,13:01:00,204,2.45,success
API 1,13:01:00,406,2.42,success
API 1,13:01:00,404,2.86,success
API 1,13:01:00,401,2.36,success
API 1,13:01:00,203,3.2,success
API 1,13:01:00,411,3.12,success
API 1,13:01:00,100,2.39,success
API 1,13:01:00,201,2.38,success
API 1,13:01:00,425,2.43,success
API 1,13:01:00,202,3.19,success
API 1,13:01:00,400,3.14,success
API 1,13:01:00,204,2.7,success
API 1,13:01:00,406,2.94,success
API 1,13:01:00,303,2.84,success
API 1,13:01:00,308,3.17,success
API 1,13:01:00,200,3.09,success
API 1,13:01:00,411,3.04,success
API 1,13:01:00,400,2.49,success
API 1,13:01:00,206,3.06,success
API 1,13:01:00,414,3.02,success
API 1,13:01:00,410,2.9,success
API 1,13:01:00,201,2.66,success
API 1,13:01:00,201,3.03,success
API 1,13:02:00,415,3.54,success
API 1,13:02:00,202,3.33,success
API 1,13:02:00,205,3.37,success
API 1,13:02:00,412,3.06,success
API 1,13:02:00,205,3.58,success
API 1,13:02:00,412,3.38,success
API 1,13:02:00,203,3.41,success
API 1,13:02:00,301,3.06,success
API 1,13:02:00,202,3.79,success
API 1,13:02:00,300,3.19,success
API 1,13:02:00,423,3.39,success
API 1,13:02:00,301,3.1,success
API 1,13:02:00,414,2.83,success
API 1,13:02:00,408,3.78,success
API 1,13:02:00,100,3.15,success
API 1,13:02:00,423,3.03,success
API 1,13:02:00,408,3.61,success
API 1,13:02:00,203,3.11,success
API 1,13:02:00,205,3.44,success
API 1,13:02:00,406,3.7,success
API 1,13:02:00,100,3.37,success
API 1,13:02:00,410,3.36,success
API 1,13:02:00,202,3.52,success
API 1,13:02:00,409,3.34,success
API 1,13:02:00,304,3.79,success
API 1,13:02:00,426,3.38,success
API 1,13:02:00,101,3.44,success
API 1,13:02:00,428,2.94,success
API 1,13:02:00,428,3.13,success
API 1,13:02:00,100,3.04,success
API 1,13:02:00,405,3.46,success
API 1,13:02:00,421,3.68,success
API 1,13:02:00,423,3.36,success
API 1,13:02:00,403,3.26,success
API 1,13:02:00,426,3.3,success
API 1,13:02:00,400,3.02,success
API 1,13:02:00,406,3.66,success
API 1,13:02:00,416,3.18,success
API 1,13:02:00,401,3.15,success
API 1,13:02:00,429,3.35,success
API 1,13:02:00,206,2.98,success
API 1,13:02:00,201,2.87,success
API 1,13:02:00,424,3.59,success
API 1,13:02:00,400,2.83,success
API 1,13:02:00,416,2.96,success
API 1,13:02:00,401,3.47,success
API 1,13:02:00,401,3.19,success
API 1,13:02:00,101,3.11,success
API 1,13:02:00,423,3.14,success
API 1,13:02:00,410,3.02,success
API 1,13:02:00,408,3.41,success
API 1,13:02:00,302,3.79,success
API 1,13:02:00,304,3.27,success
API 1,13:02:00,425,3.22,success
API 1,13:02:00,421,3.46,success
API 1,13:02:00,202,3.16,success
API 1,13:02:00,429,3.65,success
API 1,13:02:00,200,3.38,success
API 1,13:02:00,406,3.57,success
API 1,13:02:00,301,3.64,success
API 1,13:03:00,400,4.14,success
API 1,13:03:00,408,4.38,success
API 1,13:03:00,303,3.59,success
API 1,13:03:00,403,4.22,success
API 1,13:03:00,428,4.39,success
API 1,13:03:00,425,3.73,success
API 1,13:03:00,205,4.03,success
API 1,13:03:00,301,4.03,success
API 1,13:03:00,404,4.17,success
API 1,13:03:00,307,3.84,success
API 1,13:03:00,304,3.9,success
API 1,13:03:00,426,3.5,success
API 1,13:03:00,424,3.71,success
API 1,13:03:00,304,4.15,success
API 1,13:03:00,406,3.47,success
API 1,13:03:00,429,4.09,success
API 1,13:03:00,404,3.63,success
API 1,13:03:00,400,3.52,success
API 1,13:03:00,415,3.82,success
API 1,13:03:00,428,3.51,success
API 1,13:03:00,400,3.48,success
API 1,13:03:00,100,4.27,success
API 1,13:03:00,101,4.28,success
API 1,13:03:00,303,3.64,success
API 1,13:03:00,428,3.56,success
API 1,13:03:00,414,3.8,success
API 1,13:03:00,411,3.6,success
API 1,13:03:00,204,3.63,success
API 1,13:03:00,405,4.25,success
API 1,13:03:00,201,3.82,success
API 1,13:03:00,401,4.32,success
API 1,13:03:00,302,4.38,success
API 1,13:03:00,302,3.53,success
API 1,13:03:00,413,4.07,success
API 1,13:03:00,428,4.13,success
API 1,13:03:00,301,4.12,success
API 1,13:03:00,402,4.31,success
API 1,13:03:00,408,3.68,success
API 1,13:03:00,406,3.5,success
API 1,13:03:00,201,3.88,success
API 1,13:03:00,301,4.22,success
API 1,13:03:00,301,4.11,success
API 1,13:03:00,425,3.49,success
API 1,13:03:00,308,3.82,success
API 1,13:03:00,408,4.34,success
API 1,13:03:00,206,4.0,success
API 1,13:03:00,422,3.55,success
API 1,13:03:00,201,3.91,success
API 1,13:03:00,413,3.97,success
API 1,13:03:00,201,4.13,success
API 1,13:03:00,402,3.93,success
API 1,13:03:00,407,3.63,success
API 1,13:03:00,425,3.62,success
API 1,13:03:00,413,4.08,success
API 1,13:03:00,426,4.07,success
API 1,13:03:00,400,3.43,success
API 1,13:03:00,101,3.48,success
API 1,13:03:00,408,4.03,success
API 1,13:03:00,300,4.33,success
API 1,13:03:00,408,3.69,success
API 1,13:03:00,421,4.21,success
API 1,13:03:00,303,3.86,success
API 1,13:03:00,422,3.41,success
API 1,13:03:00,424,4.15,success
API 1,13:03:00,303,3.43,success
API 1,13:03:00,206,4.11,success
API 1,13:03:00,407,3.76,success
API 1,13:03:00,429,3.62,success
API 1,13:03:00,431,3.59,success
API 1,13:03:00,412,3.77,success
API 1,13:03:00,431,4.03,success
API 1,13:03:00,412,3.89,success
API 1,13:03:00,201,4.33,success
API 1,13:03:00,300,3.5,success
API 1,13:03:00,304,3.92,success
API 1,13:03:00,410,3.84,success
API 1,13:03:00,411,3.96,success
API 1,13:03:00,101,4.01,success
API 1,13:03:00,200,3.72,success
API 1,13:03:00,401,3.96,success
API 1,13:04:00,206,4.28,success
API 1,13:04:00,428,4.78,success
API 1,13:04:00,426,4.07,success
API 1,13:04:00,201,4.25,success
API 1,13:04:00,428,4.8,success
API 1,13:04:00,411,5.0,success
API 1,13:04:00,422,4.12,success
